,alpha,avg_total_deadline,avg_total_paces,avg_total_penalties,avg_total_reward,epsilon,gamma,total_reached_times
118,0.7,29.5604395604,15.3736263736,0.21978021978,31.2417582418,0.05,0.2,91
119,0.7,30.0,15.0824742268,0.474226804124,31.2989690722,0.08,0.2,97
120,0.7,30.8783783784,15.7297297297,0.297297297297,30.9864864865,0.03,0.25,74
121,0.7,30.1123595506,15.0337078652,0.247191011236,31.4382022472,0.05,0.25,89
122,0.7,28.4736842105,13.1052631579,0.410526315789,28.2368421053,0.08,0.25,95
123,0.7,30.2298850575,13.2528735632,0.183908045977,28.9482758621,0.03,0.3,87
124,0.7,30.4444444444,15.1333333333,0.177777777778,31.2,0.05,0.3,45
125,0.7,29.5180722892,16.1445783133,0.542168674699,30.6265060241,0.08,0.3,83
126,0.7,30.8888888889,15.2,0.133333333333,31.0,0.03,0.35,90
127,0.7,30.3164556962,14.8734177215,0.329113924051,30.664556962,0.05,0.35,79
128,0.7,30.7738095238,15.2380952381,0.5,30.5476190476,0.08,0.35,84
129,0.7,31.3888888889,15.6388888889,0.111111111111,31.6875,0.03,0.4,72
130,0.7,28.6206896552,14.5747126437,0.264367816092,30.4655172414,0.05,0.4,87
131,0.7,29.402173913,15.0217391304,0.326086956522,31.1467391304,0.08,0.4,92
132,0.7,28.9726027397,13.4109589041,0.219178082192,28.3835616438,0.03,0.45,73
133,0.7,30.3703703704,14.4444444444,0.308641975309,29.2345679012,0.05,0.45,81
134,0.7,30.3571428571,15.2023809524,0.416666666667,31.1785714286,0.08,0.45,84
135,0.75,28.4117647059,14.8352941176,0.141176470588,31.8529411765,0.03,0.05,85
136,0.75,29.8924731183,14.1505376344,0.290322580645,29.5860215054,0.05,0.05,93
137,0.75,30.4945054945,14.978021978,0.538461538462,30.6263736264,0.08,0.05,91
138,0.75,29.7222222222,13.8444444444,0.255555555556,29.2611111111,0.03,0.1,90
139,0.75,29.7674418605,15.6279069767,0.220930232558,30.8488372093,0.05,0.1,86
140,0.75,28.8235294118,14.7058823529,0.388235294118,29.6294117647,0.08,0.1,85
141,0.75,31.3768115942,15.0869565217,0.275362318841,31.1666666667,0.03,0.15,69
142,0.75,31.5,15.9714285714,0.171428571429,31.9785714286,0.05,0.15,70
143,0.75,30.1704545455,14.0681818182,0.295454545455,29.5795454545,0.08,0.15,88
144,0.75,29.5890410959,13.7397260274,0.232876712329,28.9931506849,0.03,0.2,73
145,0.75,30.5555555556,15.0444444444,0.366666666667,30.6944444444,0.05,0.2,90
146,0.75,29.476744186,16.0697674419,0.488372093023,31.4476744186,0.08,0.2,86
147,0.75,31.1184210526,14.0921052632,0.236842105263,29.9473684211,0.03,0.25,76
148,0.75,29.6987951807,14.9036144578,0.277108433735,31.156626506,0.05,0.25,83
149,0.75,30.1136363636,15.0,0.352272727273,30.4829545455,0.08,0.25,88
150,0.75,29.4578313253,13.8674698795,0.156626506024,29.1686746988,0.03,0.3,83
151,0.75,31.6666666667,15.4137931034,0.241379310345,31.6954022989,0.05,0.3,87
152,0.75,28.6111111111,13.5,0.433333333333,28.2111111111,0.08,0.3,90
153,0.75,30.7792207792,14.5844155844,0.311688311688,30.512987013,0.03,0.35,77
154,0.75,29.9193548387,15.3709677419,0.258064516129,31.2338709677,0.05,0.35,62
155,0.75,31.7032967033,16.4395604396,0.351648351648,32.6373626374,0.08,0.35,91
156,0.75,30.125,15.2625,0.175,32.06875,0.03,0.4,80
157,0.75,29.75,16.6875,0.3375,32.43125,0.05,0.4,80
158,0.75,31.0526315789,15.0105263158,0.305263157895,31.0473684211,0.08,0.4,95
159,0.75,29.6195652174,13.2934782609,0.163043478261,29.4782608696,0.03,0.45,92
160,0.75,29.4270833333,15.0520833333,0.333333333333,30.8125,0.05,0.45,96
161,0.75,28.8554216867,14.1807228916,0.361445783133,29.4337349398,0.08,0.45,83
