,alpha,avg_total_deadline,avg_total_paces,avg_total_penalties,avg_total_reward,epsilon,gamma,total_reached_times
54,0.6,31.2162162162,20.8648648649,1.05405405405,31.7567567568,0.03,0.05,37
55,0.6,34.8275862069,18.2413793103,1.10344827586,28.3448275862,0.05,0.05,29
56,0.6,34.1666666667,17.8,0.666666666667,29.1833333333,0.08,0.05,30
57,0.6,33.7931034483,19.0344827586,1.31034482759,30.3275862069,0.03,0.1,29
58,0.6,29.5454545455,18.7272727273,1.0,29.2272727273,0.05,0.1,22
59,0.6,32.8947368421,17.9473684211,1.36842105263,27.4736842105,0.08,0.1,19
60,0.6,30.652173913,19.4347826087,1.69565217391,28.0869565217,0.03,0.15,23
61,0.6,27.96875,16.96875,0.8125,28.59375,0.05,0.15,32
62,0.6,28.2258064516,16.8387096774,1.03225806452,28.0967741935,0.08,0.15,31
63,0.6,31.3043478261,21.7826086957,1.04347826087,31.5217391304,0.03,0.2,23
64,0.6,30.625,13.2916666667,0.875,23.4791666667,0.05,0.2,24
65,0.6,32.5,22.7,1.46666666667,33.8666666667,0.08,0.2,30
66,0.6,31.9444444444,16.2222222222,1.22222222222,26.1111111111,0.03,0.25,18
67,0.6,33.7096774194,19.5806451613,1.06451612903,30.5,0.05,0.25,31
68,0.6,32.5,17.45,1.15,27.075,0.08,0.25,20
69,0.6,29.7368421053,17.8421052632,1.0,28.7105263158,0.03,0.3,19
70,0.6,28.8461538462,18.4615384615,0.615384615385,29.3269230769,0.05,0.3,26
71,0.6,30.652173913,16.4347826087,0.652173913043,29.6086956522,0.08,0.3,23
72,0.6,32.4,17.08,1.36,26.44,0.03,0.35,25
73,0.6,31.2903225806,20.3548387097,0.935483870968,31.6129032258,0.05,0.35,31
74,0.6,29.4444444444,17.7407407407,1.07407407407,28.2407407407,0.08,0.35,27
75,0.6,32.4,18.64,0.88,28.9,0.03,0.4,25
76,0.6,29.75,15.2,0.65,26.275,0.05,0.4,20
77,0.6,34.6153846154,18.0,1.30769230769,27.8269230769,0.08,0.4,26
78,0.6,31.3043478261,15.9130434783,0.95652173913,25.3043478261,0.03,0.45,23
79,0.6,32.6923076923,19.6538461538,1.0,31.0576923077,0.05,0.45,26
80,0.6,32.0,19.8333333333,1.0,30.4833333333,0.08,0.45,30
81,0.65,28.8,16.88,0.6,28.2,0.03,0.05,25
82,0.65,30.3225806452,18.9032258065,0.870967741935,30.2258064516,0.05,0.05,31
83,0.65,28.3823529412,14.7647058824,1.08823529412,26.0,0.08,0.05,34
84,0.65,32.7777777778,16.5,0.611111111111,27.3333333333,0.03,0.1,18
